2005.94630515495, 278635.87318912067
2006.7528496917264, 366206.0911383481
2007.5595084027623, 496267.0025889623
2008.3661056353508, 661520.0258955349
2009.1727467811158, 892249.8375826902
2009.979405492152, 1209139.233815663
2010.7860027247402, 1611773.1243306992
2011.592679001047, 2194522.811299897
2012.3992498857292, 2904679.134563416
2013.2059261620361, 3954889.5090016355
2014.0127078299672, 5539220.694821707
2014.8193489757325, 7471230.759187685
2015.5892066880315, 9631426.909796236
2017.606044048809, 21670461.677506912
2018.4125710203145, 28347211.512571666
2019.1090416901407, 35032278.032213055
2021.0526048653098, 77884903.5026845
2021.8591318368153, 101881531.92501928
2022.5189749963197, 125479722.27858248
2024.4989812464678, 266410716.8052826
